	name	kind	query	description	comment	url	source	ccd	in_ccd
0	acetylurea	SMILES	O=C1CNC(=O)N1		unchecked		PDBe	HYN	True
1	acridine	SMILES	c1ccc2nc3ccccc3cc2c1		unchecked		PDBe		False
2	acridone	SMILES	OC1c2ccccc2Nc2ccccc21		unchecked		PDBe		False
3	actinophenoxazine	SMILES	Nc1cc2c(cc1O)Oc1ccccc1N2		unchecked		PDBe		False
4	adenine	SMILES	Nc1ncnc2nc[nH]c12	Adenine is a nucleobase (a purine derivative).	unchecked	https://en.wikipedia.org/wiki/Adenine	PDBe		False
5	alkaloid	SMILES	c1ccc2c(c1)CC1NCCC23CCCCC13		unchecked		PDBe		False
6	amide	SMARTS		carboxyamide	unchecked	https://en.wikipedia.org/wiki/Amide	PDBe		False
7	barbit	SMILES	*=C1NC(=O)CC(=O)N1		unchecked		PDBe		False
8	barbiturates	SMILES	NC1CC(=O)NC1=O		unchecked		PDBe	SNN	True
9	barbiturgroup	SMILES	O=C1*CC(=O)N1		unchecked		PDBe		False
10	benzimidazole	SMILES	c1ccc2[nH]cnc2c1		unchecked		PDBe	BZI	True
11	benzodiazepine	SMILES	C1=CNc2ccccc2C=N1		unchecked		PDBe		False
12	benzofuran	SMILES	c1ccc2c(c1)CCO2		unchecked		PDBe		False
13	benzoisoquinoline	SMILES	c1ccc2c(c1)ccc1ccncc12		unchecked		PDBe		False
14	benzothiadiazide	SMILES	C1=Nc2ccccc2SN1		unchecked		PDBe		False
15	benzothiazole	SMILES	c1ccc2scnc2c1		unchecked		PDBe	BOT	True
16	benzothiophen	SMILES	c1ccc2sccc2c1		unchecked		PDBe		False
17	benzoxazole	SMILES	c1ccc2ocnc2c1		unchecked		PDBe		False
18	bilirubin	SMILES	c1c[nH]c(Cc2ccc(Cc3ccc(Cc4ccc[nH]4)[nH]3)[nH]2)c1		unchecked		PDBe		False
19	biotin	SMILES	OC1NC2CSCC2N1		unchecked		PDBe		False
20	carbazole	SMILES	c1ccc2c(c1)[nH]c1ccccc12		unchecked		PDBe	9CA	True
21	cephalosporin	SMILES	OC1CC2SCCCN12		unchecked		PDBe		False
22	chlorin	SMILES	C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)CC4)[nH]3	metal chelating ring in chlorophyll	unchecked	https://en.wikipedia.org/wiki/Chlorin	PDBe		False
23	chromen	SMILES	C1=Cc2ccccc2OC1		unchecked		PDBe		False
24	cinnoline	SMILES	c1ccc2nnccc2c1		unchecked		PDBe		False
25	coumarine	SMILES	OC1=CC(O)Oc2ccccc21		unchecked		PDBe		False
26	cyclobutane	SMILES	C1CCC1		unchecked		PDBe		False
27	cyclohexane	SMILES	C1CCCCC1		unchecked		PDBe	CHX	True
28	cyclopentane	SMILES	C1CCCC1		unchecked		PDBe		False
29	cyclopropane	SMILES	C1CC1		unchecked		PDBe		False
30	cytosine	SMILES	NC1C=CNC(O)N1		unchecked		PDBe		False
31	deoxyribose	SMARTS	OCC1OCCC1O	2-deoxyribose the monosaccharide found in DNA. Query will not match RNA ribose.	unchecked	https://en.wikipedia.org/wiki/Deoxyribose	PDBe		False
32	dibenzofuran	SMILES	c1ccc2c(c1)oc1ccccc12		unchecked		PDBe	1IT	True
33	dibenzothiophen	SMILES	c1ccc2c(c1)sc1ccccc12		unchecked		PDBe	83R	True
34	dithiolane	SMILES	C1CSSC1		unchecked		PDBe		False
35	flavin	SMILES	Oc1nc(O)c2nc3ccccc3nc2n1		unchecked		PDBe		False
36	furan	SMILES	c1ccoc1		unchecked		PDBe		False
37	furanose	SMILES	OC1CCCO1		unchecked		PDBe		False
38	glycerophos	SMILES	OCC(O)CO[PH](O)(O)O		unchecked		PDBe		False
39	guanine	SMILES	Nc1nc(O)c2[nH]cnc2n1		unchecked		PDBe		False
40	imidazole	SMILES	c1c[nH]cn1	Imidazole is an organic compound with the formula C3N2H4.	unchecked	https://en.wikipedia.org/wiki/Imidazole	PDBe		False
41	indole	SMILES	c1ccc2[nH]ccc2c1		unchecked		PDBe	IND	True
42	inosine	SMILES	Oc1ncnc2nc[nH]c12		unchecked		PDBe		False
43	isoquinoline	SMILES	c1ccc2cnccc2c1		unchecked		PDBe	ISQ	True
44	isoxadiazole	SMILES	c1ncon1		unchecked		PDBe		False
45	isoxazole	SMILES	c1cnoc1		unchecked		PDBe		False
46	naphtyridine	SMILES	c1cnc2cccnc2c1		unchecked		PDBe		False
47	napthalene	SMILES	c1ccc2ccccc2c1		unchecked		PDBe	NPY	True
48	oxadiazole	SMILES	c1cnon1		unchecked		PDBe		False
49	oxazole	SMILES	c1cocn1		unchecked		PDBe		False
50	oxazolidinedione	SMILES	O=C1COC(=O)N1		unchecked		PDBe		False
51	oxepin	SMILES	C1=CC=COC=C1		unchecked		PDBe		False
52	penicillin	SMILES	O=C1CC2SCCN12		unchecked		PDBe		False
53	peptide	SMILES	NCC=O		unchecked		PDBe	GLZ	True
54	phenanthrene	SMILES	c1ccc2c(c1)ccc1ccccc12		unchecked		PDBe	PEY	True
55	phenanthridine	SMILES	c1ccc2c(c1)cnc1ccccc12		unchecked		PDBe		False
56	phenanthroline	SMILES	c1cnc2c(c1)ccc1cccnc12		unchecked		PDBe	PHN	True
57	phenazine	SMILES	c1ccc2nc3ccccc3nc2c1		unchecked		PDBe		False
58	phenothiazine	SMILES	c1ccc2c(c1)Nc1ccccc1S2		unchecked		PDBe		False
59	phenyl	SMILES	c1ccccc1		unchecked		PDBe	BNZ	True
60	phosphate	SMILES	O=P(O)(O)O	phosphate group	unchecked	https://en.wikipedia.org/wiki/Phosphate	PDBe		False
61	phthalazine	SMILES	c1ccc2cnncc2c1		unchecked		PDBe	4FT	True
62	piperazine	SMILES	C1CNCCN1		unchecked		PDBe	PZE	True
63	porphin	SMILES	C1=c2ccc([nH]2)=Cc2ccc([nH]2)C=c2ccc([nH]2)=Cc2ccc1[nH]2	The central ring in a prophyrin, for example heme.	unchecked	https://en.wikipedia.org/wiki/Porphin	PDBe		False
64	porphin-like	LIKE	C1=c2ccc([nH]2)=Cc2ccc([nH]2)C=c2ccc([nH]2)=Cc2ccc1[nH]2	prophyrin/heme connectivity regardless of bond order.	unchecked	https://en.wikipedia.org/wiki/Porphin	PDBe		False
65	prosto	SMILES	CCCCC1=C(O)C=CC1CCCC		unchecked 		PDBe		False
66	pteridine	SMILES	c1cnc2ncncc2n1		unchecked		PDBe		False
67	pteroyl	SMILES	Nc1nc(O)c2nccnc2n1		unchecked		PDBe		False
68	purine	SMILES	c1ncc2[nH]cnc2n1	A purine is a heterocyclic aromatic organic compound that consists of a pyrimidine ring fused to an imidazole ring.	unchecked	https://en.wikipedia.org/wiki/Purine	PDBe		False
69	pyran	SMILES	C1=COC=CC1		unchecked		PDBe		False
70	pyranose	SMILES	OC1CCCCO1		unchecked		PDBe		False
71	pyrazine	SMILES	c1cnccn1		unchecked		PDBe		False
72	pyrazole	SMILES	c1cn[nH]c1		unchecked		PDBe	PZO	True
73	pyridazine	SMILES	c1ccnnc1		unchecked		PDBe		False
74	pyridine	SMILES	c1ccncc1		unchecked		PDBe	0PY	True
75	pyrimidine	SMILES	c1cncnc1	Pyrimidine is an aromatic heterocyclic organic compound similar to pyridine.	unchecked	https://en.wikipedia.org/wiki/Pyrimidine	PDBe	P1R	True
76	1-pyrroline	SMILES	C1=NCCC1		unchecked		PDBe		False
77	2-pyrroline	SMILES	C1=CNCC1		unchecked		PDBe		False
78	3-pyrroline	SMILES	C1=CCNC1		unchecked		PDBe		False
79	pyrrole	SMILES	c1cc[nH]c1	Pyrrole is a heterocyclic aromatic organic compound, a five-membered ring with the formula C4H4NH.	unchecked	https://en.wikipedia.org/wiki/Pyrrole	PDBe		False
80	quinazoline	SMILES	c1ccc2ncncc2c1		unchecked		PDBe	QUZ	True
81	quinoline	SMILES	c1ccc2ncccc2c1		unchecked		PDBe		False
82	quinoxaline	SMILES	c1ccc2nccnc2c1		unchecked		PDBe		False
83	rauwolfia	SMILES	c1ccc2cn3ccc4c5ccccc5nc-4c3cc2c1		unchecked		PDBe		False
84	ribose	SMILES	OCC1OCC(O)C1O	Will match any furanose sugar, regardless of chirality.	unchecked	https://en.wikipedia.org/wiki/Ribose	PDBe	R1X	True
85	steroid-like	LIKE	C1CCC2C(C1)CCC1C3CCCC3CCC21	steroid ring connectivity	checked		PDBe		False
86	succinimide	SMILES	O=C1CCC(=O)N1		unchecked		PDBe		False
87	thiadiazole	SMILES	c1nncs1		unchecked		PDBe		False
88	thiazole	SMILES	c1cscn1		unchecked		PDBe	LOM	True
89	thiepin	SMILES	C1=CC=CSC=C1		unchecked		PDBe		False
90	thiophen	SMILES	c1ccsc1		unchecked		PDBe		False
91	tocol	SMILES	c1ccc2c(c1)CCCO2		unchecked		PDBe		False
92	vitaminAcore	SMILES	C=CC=CC=CC=CC1=CC=CCC1		unchecked		PDBe		False
93	xanthen	SMILES	c1ccc2c(c1)Cc1ccccc1O2		unchecked		PDBe		False
